0;path;file;Fd kHz;Fg kHz;Start;End;cnt;Source name;Section
265;..\RRLPy_data\d2006_12\d_12_31.001;d_12_31.001;3180;;;;;;
266;..\RRLPy_data\d2006_12\d_12_31.002;d_12_31.002;3180;;;;;;
267;..\RRLPy_data\d2006_12\d_12_31.003;d_12_31.003;3180;;;;;;
268;..\RRLPy_data\d2006_12\d_12_31.004;d_12_31.004;3180;;;;;;
269;..\RRLPy_data\d2007_01\d_1_1.001;d_1_1.001;3180;;;;;;
270;..\RRLPy_data\d2007_01\d_1_1.002;d_1_1.002;3180;;;;;;
271;..\RRLPy_data\d2007_01\d_1_1.003;d_1_1.003;3180;;;;;;
272;..\RRLPy_data\d2007_01\d_1_1.004;d_1_1.004;3180;;;;;;
273;..\RRLPy_data\d2007_01\d_1_2.001;d_1_2.001;3180;;;;;;
274;..\RRLPy_data\d2007_01\d_1_2.002;d_1_2.002;3180;;;;;;
275;..\RRLPy_data\d2007_01\d_1_2.003;d_1_2.003;3180;;;;;;
276;..\RRLPy_data\d2007_01\d_1_2.004;d_1_2.004;3180;;;;;;
277;..\RRLPy_data\d2007_01\d_1_3.001;d_1_3.001;3180;;;;;;
278;..\RRLPy_data\d2007_01\d_1_3.002;d_1_3.002;3180;;;;;;
279;..\RRLPy_data\d2007_01\d_1_3.003;d_1_3.003;3180;;;;;;
280;..\RRLPy_data\d2007_01\d_1_3.004;d_1_3.004;3180;;;;;;
281;..\RRLPy_data\d2007_01\d_1_4.001;d_1_4.001;3180;;;;;;
282;..\RRLPy_data\d2007_01\d_1_4.002;d_1_4.002;3180;;;;;;
283;..\RRLPy_data\d2007_01\d_1_4.003;d_1_4.003;3180;;;;;;
284;..\RRLPy_data\d2007_01\d_1_5.001;d_1_5.001;3180;;;;;;
285;..\RRLPy_data\d2007_01\d_1_5.002;d_1_5.002;3180;;;;;;
286;..\RRLPy_data\d2007_01\d_1_5.003;d_1_5.003;3180;;;;;;
287;..\RRLPy_data\d2007_01\d_1_5.004;d_1_5.004;3180;;;;;;
288;..\RRLPy_data\d2007_01\d_1_6.001;d_1_6.001;3180;;;;;;
289;..\RRLPy_data\d2007_01\d_1_6.002;d_1_6.002;3180;;;;;;
290;..\RRLPy_data\d2007_01\d_1_6.003;d_1_6.003;3180;;;;;;
291;..\RRLPy_data\d2007_01\d_1_6.004;d_1_6.004;3180;;;;;;
292;..\RRLPy_data\d2007_01\d_1_7.001;d_1_7.001;3180;;;;;;
293;..\RRLPy_data\d2007_01\d_1_7.002;d_1_7.002;3180;;;;;;
294;..\RRLPy_data\d2007_01\d_1_7.003;d_1_7.003;3180;;;;;;
295;..\RRLPy_data\d2007_01\d_1_7.004;d_1_7.004;3180;;;;;;
